Curricular_units_2nd_sem_approved,Tuition_fees_up_to_date,Course_Technology,Mother_qualification_Others,Scholarship_holder,Application_mode_First_Phase,Course_Others,Debtor,Father_occupation_Others,Course_Communication,Curricular_units_1st_sem_credited,GDP,Course_Nature,Gender,Course_Social_Service,enrollment_age,Course_Management,Curricular_units_2nd_sem_without_evaluations,Application_order,Previous_qualification_grade,Application_mode_OverAge,Educational_special_needs,Inflation_rate,Admission_grade,Application_mode_Last_Phase,Application_mode_Transfer,Previous_qualification_Graduation_plus,Mother_qualification_Graduation_plus,Course_Medical,Nacionality,Application_mode_Courses_Holders,Mother_qualification_Basic_Education,Displaced,Father_occupation_Skilled,Application_mode_Course_Change,morning_attendance,Father_occupation_Unskilled,Mother_qualification_High_School_Eq,Father_occupation_Highly_Skilled,Curricular_units_1st_sem_without_evaluations,Marital_status,Target
6,1,0,0,0,0,0,0,0,0,0,-0.92,0,1,0,19,0,0,2,127.0,0,0,0.3,118.8,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
5,1,0,0,0,0,0,0,0,0,0,-0.92,1,1,0,21,0,0,1,150.0,0,0,0.3,150.0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
4,1,0,0,0,0,0,0,0,1,2,3.51,0,1,0,20,0,0,1,125.0,0,0,1.4,130.0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
2,0,0,0,0,1,0,0,0,0,0,3.51,0,1,0,18,1,0,1,143.0,0,0,1.4,138.8,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,1.79,0,0,1,19,0,0,1,138.0,0,0,0.5,134.5,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
5,1,0,0,0,1,0,0,0,0,0,0.79,0,1,0,34,1,0,1,130.0,0,0,-0.3,131.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,3.51,0,1,0,37,0,0,1,130.0,1,0,1.4,102.5,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
0,1,1,1,0,0,0,0,1,0,0,0.32,0,1,0,43,0,0,1,133.1,1,0,2.6,128.8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
2,1,0,0,0,0,0,0,0,0,0,-0.92,0,0,0,55,1,2,1,140.0,0,0,0.3,122.9,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1
5,1,0,0,0,0,0,0,0,0,0,0.32,0,0,0,39,1,0,1,120.0,1,0,2.6,113.9,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
3,0,0,0,0,0,0,1,0,0,2,1.79,1,0,0,20,0,0,1,120.0,0,0,0.5,120.0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1
0,1,0,0,0,1,0,1,0,1,0,-1.7,0,0,0,18,0,0,5,126.0,0,0,3.7,121.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
5,1,0,0,0,1,0,0,0,0,0,3.51,0,0,0,22,1,0,2,133.0,0,0,1.4,120.4,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
7,1,0,0,0,1,0,0,0,0,0,2.02,0,0,0,22,0,0,6,103.0,0,1,0.6,100.6,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0
5,0,0,0,0,0,0,0,0,1,0,1.79,0,0,0,20,0,0,1,120.0,0,0,0.5,121.4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,-0.92,0,0,0,29,1,0,1,133.1,1,0,0.3,109.7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3,1,0,0,0,0,0,0,0,0,0,0.32,0,0,0,24,1,1,1,154.0,0,0,2.6,134.1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,2.02,0,0,1,18,0,0,2,130.0,0,0,0.6,127.6,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
7,1,0,0,1,0,0,0,0,0,0,2.02,0,0,0,22,0,0,6,132.0,0,0,0.6,132.4,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
6,1,0,0,1,0,0,0,0,0,3,1.79,0,0,1,21,0,0,1,130.0,0,0,0.5,133.4,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
6,1,0,0,1,1,0,0,0,0,0,-1.7,0,0,1,19,0,0,1,139.0,0,0,3.7,126.1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6,1,0,0,1,0,1,0,0,0,0,1.79,0,0,0,24,0,0,1,130.0,1,0,0.5,113.5,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
6,1,0,0,1,1,0,0,0,0,0,-3.12,0,0,0,19,0,0,1,139.0,0,0,-0.8,121.3,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
3,1,0,0,1,1,0,0,0,1,0,-3.12,0,0,0,20,0,0,1,127.0,0,0,-0.8,121.8,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
5,1,0,0,0,1,0,0,1,0,0,0.32,1,0,0,19,0,0,3,167.0,0,0,2.6,159.3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,-3.12,0,0,0,27,1,0,1,130.0,1,0,-0.8,120.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
8,1,0,0,0,1,0,0,0,0,0,-4.06,0,0,0,18,0,0,1,130.0,0,0,2.8,129.1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,1.79,0,0,0,39,0,0,1,130.0,0,0,0.5,130.0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
10,1,0,0,0,0,0,0,0,0,0,1.79,1,0,0,27,0,0,1,129.0,1,0,0.5,155.3,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
8,1,0,0,0,0,0,0,0,0,0,-3.12,0,0,0,18,0,0,1,141.0,0,0,-0.8,139.8,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0
0,1,1,0,0,1,0,0,0,0,0,0.32,0,0,0,18,0,0,3,125.0,0,0,2.6,115.2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
7,1,0,0,0,1,0,0,0,0,0,-0.92,0,0,0,18,0,0,2,125.0,0,0,0.3,114.9,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0
6,1,0,0,1,0,0,0,0,0,3,0.79,0,0,1,21,0,0,1,130.0,0,0,-0.3,131.9,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
0,1,1,0,1,0,0,0,0,0,0,1.74,0,1,0,19,0,0,3,133.0,0,0,1.4,126.0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
1,1,0,0,0,0,0,0,0,1,0,1.74,0,1,0,19,0,0,1,127.0,0,0,1.4,130.2,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,-1.7,0,1,0,24,0,0,1,116.0,0,0,3.7,120.9,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0
5,1,0,0,0,0,0,0,0,0,2,0.79,0,1,0,29,0,0,1,133.1,0,0,-0.3,126.0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
0,1,1,0,1,1,0,0,0,0,0,1.74,0,1,0,19,0,0,3,139.0,0,0,1.4,128.2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,3.51,1,1,0,23,0,0,1,130.0,0,0,1.4,130.0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0
4,1,0,0,0,1,0,1,0,0,0,-0.92,0,1,0,19,1,3,3,125.0,0,0,0.3,120.1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
5,1,0,0,0,0,1,0,0,0,0,-1.7,0,1,0,26,0,0,1,160.0,1,0,3.7,100.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0.32,0,1,0,18,1,0,1,148.0,0,0,2.6,134.0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0.79,0,1,0,24,0,0,1,150.0,0,0,-0.3,130.8,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
0,1,1,0,0,1,0,0,0,0,0,-4.06,0,1,0,19,0,0,1,141.0,0,0,2.8,135.8,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
1,1,0,0,0,0,1,0,0,0,0,1.79,0,1,0,18,0,0,4,118.0,0,0,0.5,111.7,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
3,1,0,0,0,1,0,0,0,1,0,1.74,0,1,0,18,0,0,2,142.0,0,0,1.4,132.9,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
3,1,0,0,0,0,0,1,0,0,0,1.74,0,1,0,18,1,0,3,120.0,0,0,1.4,115.5,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
1,1,0,0,1,0,1,0,0,0,0,-3.12,0,1,0,21,0,0,4,106.0,0,0,-0.8,106.0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
6,1,0,0,1,0,0,1,0,1,0,3.51,0,1,0,19,0,0,4,121.0,0,0,1.4,120.3,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
8,1,0,0,1,0,0,0,0,0,0,-0.92,0,1,0,22,0,0,4,150.0,0,0,0.3,130.8,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,1.74,0,1,1,33,0,0,1,120.0,1,0,1.4,117.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
5,1,0,0,0,1,1,0,0,0,0,1.74,0,1,0,20,0,0,6,114.0,0,0,1.4,110.2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
0,1,0,0,0,0,0,0,0,0,0,1.74,0,1,0,35,1,0,1,140.0,1,0,1.4,155.7,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1
10,1,0,0,0,0,0,1,0,0,6,1.79,1,1,0,24,0,0,1,160.0,1,0,0.5,180.4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
3,1,0,0,0,0,1,0,0,0,0,-1.7,0,1,0,18,0,0,1,120.0,0,0,3.7,125.5,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0,-3.12,0,0,1,33,0,0,1,130.0,1,0,-0.8,110.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
7,1,0,0,1,0,0,0,0,0,0,1.74,0,0,0,22,0,0,1,160.0,0,0,1.4,161.0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
5,1,0,0,1,0,0,0,0,0,0,-3.12,0,0,0,25,1,0,1,120.0,1,0,-0.8,100.0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
5,1,0,0,0,0,0,0,1,1,0,0.32,0,1,0,20,0,0,1,124.0,0,0,2.6,117.6,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
5,1,0,0,0,1,0,0,0,0,0,2.02,0,1,0,23,1,0,6,143.0,0,0,0.6,128.7,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
0,1,1,0,0,0,0,1,0,0,0,-4.06,0,1,0,18,0,0,2,115.0,0,0,2.8,112.2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0.79,0,1,0,24,0,0,1,133.1,1,0,-0.3,100.8,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
6,0,0,0,0,0,0,0,0,1,0,3.51,0,0,0,21,0,0,2,133.1,0,0,1.4,105.0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,3.51,1,0,0,26,0,0,1,133.1,0,0,1.4,100.0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
0,1,0,0,0,0,1,0,1,0,0,0.32,0,0,0,39,0,1,1,133.1,1,0,2.6,115.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
6,1,0,0,0,0,0,0,0,0,2,-1.7,0,0,1,44,0,0,1,133.1,1,0,3.7,114.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
3,1,1,0,0,0,0,0,0,0,0,0.79,0,1,0,19,0,0,1,130.0,0,0,-0.3,137.0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0
6,1,0,0,0,1,0,0,0,1,0,3.51,0,0,0,18,0,0,5,135.0,0,0,1.4,124.9,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
8,1,0,0,1,1,0,0,0,0,0,1.79,0,0,0,18,0,0,5,132.0,0,0,0.5,120.3,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
5,1,0,0,0,1,0,0,0,0,0,-1.7,0,0,0,19,0,0,1,135.0,0,0,3.7,134.3,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,2,0,0
0,0,0,0,0,1,0,1,0,0,0,0.79,0,0,0,19,0,0,4,115.0,0,0,-0.3,111.5,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1
5,1,0,0,0,0,0,0,0,0,7,3.51,0,0,0,21,0,0,1,130.0,0,0,1.4,128.8,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1
0,1,1,0,0,1,0,0,0,0,0,-0.92,0,0,0,20,0,0,4,133.1,0,0,0.3,110.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,-3.12,0,0,1,36,0,0,1,130.0,1,0,-0.8,113.5,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1
13,1,0,0,0,0,0,0,0,0,13,-4.06,1,0,0,43,0,1,1,133.1,1,0,2.8,160.0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,2.02,0,0,0,19,0,0,1,123.0,0,0,0.6,117.4,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
11,1,0,0,0,0,0,1,0,1,4,2.02,0,0,0,20,0,0,1,130.0,0,0,0.6,122.2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,-0.92,0,0,1,19,0,0,2,122.0,0,0,0.3,118.2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1
4,1,0,0,0,1,0,0,0,0,0,-4.06,0,0,0,20,0,0,1,113.0,0,0,2.8,106.7,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
5,1,0,0,0,1,0,0,0,0,2,1.79,0,0,0,20,0,0,5,111.0,0,0,0.5,108.2,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
3,1,0,0,0,0,1,0,0,0,0,-0.92,0,0,0,20,0,0,2,133.1,0,0,0.3,107.0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
6,1,0,0,0,1,0,0,0,0,0,0.79,0,0,1,18,0,0,1,142.0,0,0,-0.3,136.1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
3,1,0,0,1,0,0,0,0,0,0,3.51,0,0,0,18,1,0,2,123.0,0,0,1.4,115.3,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
5,1,0,0,0,1,0,0,0,0,0,1.74,0,0,0,19,0,0,1,131.0,0,0,1.4,139.8,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
6,1,0,0,0,1,0,0,0,1,0,1.74,0,0,0,18,0,0,3,158.0,0,0,1.4,157.0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,0.32,0,0,0,18,0,1,2,122.0,0,0,2.6,131.0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
7,1,0,0,0,0,0,0,0,0,0,0.79,0,0,0,20,0,0,1,130.0,0,0,-0.3,100.0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
4,1,0,0,1,0,0,0,0,0,0,0.32,0,0,1,20,0,0,1,154.0,0,0,2.6,140.4,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
3,1,0,0,0,0,0,0,0,0,0,1.79,0,0,0,20,1,0,1,120.0,0,0,0.5,113.4,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
5,1,0,0,0,1,0,0,0,0,0,-3.12,0,0,0,18,0,0,2,140.0,0,0,-0.8,137.0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0,0
5,1,0,0,0,1,0,0,0,0,0,2.02,0,0,0,18,1,0,1,127.0,0,0,0.6,121.8,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2,1,0,0,0,0,1,0,0,0,0,-3.12,0,0,0,21,0,0,1,133.1,0,0,-0.8,131.0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
4,1,0,0,0,1,0,0,0,0,0,-0.92,0,0,0,19,1,2,2,120.0,0,0,0.3,118.6,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
0,1,1,0,0,1,0,0,0,0,0,1.74,0,0,0,19,0,0,1,137.0,0,0,1.4,122.3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
5,1,0,0,1,1,0,0,0,0,0,-3.12,0,0,0,19,1,0,1,131.0,0,0,-0.8,127.9,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
6,1,0,0,0,1,0,0,0,0,0,-4.06,0,0,0,19,0,0,1,130.0,0,0,2.8,121.3,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0.79,0,0,0,19,0,0,6,122.0,0,0,-0.3,117.1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
5,1,0,0,0,0,0,0,0,0,1,1.79,0,0,0,20,0,0,1,160.0,0,0,0.5,160.0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0
5,1,0,0,1,1,1,0,0,0,0,-3.12,0,0,0,18,0,0,1,146.0,0,0,-0.8,145.3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0,1.79,0,0,1,18,0,0,3,131.0,0,0,0.5,122.6,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,1.79,0,0,0,19,0,0,6,132.0,0,0,0.5,128.0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0
7,1,0,0,1,1,0,0,0,0,0,0.79,0,0,0,18,0,0,3,138.0,0,0,-0.3,124.9,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
6,1,0,0,0,0,0,0,0,1,0,0.32,0,0,0,18,0,0,2,130.0,0,0,2.6,123.7,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0
5,1,0,0,0,1,0,0,0,0,0,3.51,0,0,0,19,1,0,4,126.0,0,0,1.4,120.1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0.79,0,0,0,19,0,0,6,148.0,0,0,-0.3,131.7,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
7,1,0,0,0,0,0,0,0,0,5,0.32,0,0,1,20,0,0,1,130.0,0,0,2.6,133.2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
4,0,0,0,1,1,0,1,0,0,0,1.79,0,0,0,19,1,0,1,117.0,0,0,0.5,109.3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
4,1,0,0,0,0,0,0,0,0,0,0.32,0,0,0,20,1,0,1,120.0,0,0,2.6,113.0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
6,1,0,0,1,1,0,1,0,1,0,3.51,0,0,0,18,0,0,1,153.0,0,0,1.4,157.9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
7,1,0,0,1,1,0,0,0,0,0,2.02,0,0,0,20,0,0,2,117.0,0,0,0.6,112.1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
8,1,0,0,0,0,0,0,0,0,0,0.79,0,0,0,18,0,0,1,178.0,0,0,-0.3,174.7,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0
6,1,0,0,0,1,0,0,0,0,0,0.32,0,0,0,19,0,0,5,129.0,0,0,2.6,128.8,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0
